TRANS_NODE_NAME,LONGITUDE,LATITUDE
CNHKG,114.167519,22.246522
CNSHA,121.643646,31.344022
CNSHK,113.863058,22.559462
CNYTN,114.275347,22.5777
COBUN,-77.068433,3.875255
HKHKG,114.139709,22.419915
ARENA,-58.35677,-34.627862
CAVAN,-123.103178,49.312004
CLVAP,-71.626282,-33.032394
ESALG,-5.435793,36.138966
FRFOS,4.885655,43.430234
GRPIR,23.579622,37.954178
LBBEY,35.540562,33.90926
MATNG,-5.79,35.791
MTMLA,14.503927,35.901194
MXZLO,-104.305571,19.085961
MYTPP,103.403395,1.362167
NZAKL,174.785614,-36.844873
PAMIT,-79.68447876,9.874713898
PAONX,-79.88299,9.38979
PKQCT,67.12748,24.65178299
RTM,4.02998,51.975399
SGSIN,104.0398865,1.303141
SIKOP,13.728527,44.72997971
ZADUR,31.172197,-29.868304
JPNGO,136.847423,35.056571
SHEKOU,113.896572,22.457789
VNSGN,107.333522,10.409313
INBOM,72.820787,18.937777
ZMLUN,28.3228165,-15.3875259
HONGKONG,114.124481,22.24398
BEY,35.481891,33.819518
TWKEL,121.751663,25.146057
HKG,114.124481,22.24398
TRYAR,29.731014,40.769338
CNCWN,113.882158,22.462409
CVRAI,-23.496489,14.909341
UYMVD,-56.212547,-34.903857
MELBOURNE,144.911116,-37.835954
IDJAK,106.881179,-6.119484
MALTA,14.42354,35.956719
PGLAE,146.594707,-6.446685
SBHIR,160.053743,-9.421916
SADMM,50.191042,26.479906
BRMAN,-60.02955,-3.137271
ALDRZ,19.4526,41.316948
BNMUH,115.108315,5.0915
EGPSD,32.301866,31.265289
MACAS,-7.607741,33.599299
THBKK,100.589653,13.580118
QAHMD,51.613474,25.016735
ESBCN,-7.60354,33.604286
PHMAN,120.967396,14.584285
CYLMS,33.018426,34.657071
FOS,4.834243,43.303233
PACCT,-79.890968,9.375367
EGEDK,29.793578,31.123341
PKKCT,67.323067,24.829606
PHBAT,121.0436,13.75504
CMDLA,9.668862,4.027768
BZBZE,-76.8293,17.977304
BJCOO,2.414607,6.377862
NLRTM,4.602674,51.90936
SVAQJ,-89.839556,13.581498
SCPOV,55.462547,-4.616838
VAN,-130.3208187,54.3170367
SLFRE,-13.231722,8.465676
KRICH,126.621451,37.461975
THLKB,100.710983,13.721709
PKKHI,66.96804,24.865576
LYBEN,20.065502,32.118763
BRSSZ,-46.28402,-23.954513
SESTO,18.073325,59.330969
MAKASSAR,119.432716,-5.138647
PHMNL,120.972872,14.603683
JAKARTA,107.086487,-6.287487
BAR,19.089904,42.091211
INMAA,80.282252,13.066265
TZDAR,39.287453,-6.825322
CLSAI,-71.609932,-33.578213
TNTUN,-5.539515,35.86311
JPTYO,139.792252,35.616509
CNTAO,120.298233,36.061589
CLIQQ,-70.138945,-20.211789
HUNGARY,14.455083,45.319283
DOSDQ,-69.885436,18.475703
CVMIN,-24.996563,16.889605
UAODS,30.805767,46.556334
MZMPM,32.557397,-25.954165
LYTIP,13.181617,32.886587
CHZRH,4.0039,51.955784
CIABJ,-4.00412,5.305333
VNHPH,106.884761,20.826537
NICIO,-87.173034,12.487145
AAR,10.625356,56.308941
INMUN,69.716318,22.750144
SADAM,50.191042,26.479906
PHDAV,125.662295,7.12693
UAIEV,30.520358,50.478557
SHA,122.043694,30.630617
YANTIAN,114.275347,22.5777
LKCMB,79.891802,6.984865
CNDCB,113.8702,22.538085
AUBNE,153.164629,-27.383267
FRLEH,0.143143,49.49014
JOAQJ,35.012059,29.536567
BDCGP,91.793321,22.304439
AUSYD,151.216812,-33.967731
PHMNS,120.965895,14.585095
AOLAD,13.245285,-8.808546
LTKLJ,21.149812,55.696857
QADOH,51.538826,25.294353
VNDAN,108.241134,16.106694
IQUQR,47.949829,30.021395
CMKBI,9.806216,2.739002
AQABA,34.976427,29.469949
IDJKT,106.881179,-6.019484
VNHPG,106.884761,20.026537
SZX,113.813896,22.637145
SAJED,39.163233,21.47098
SARUH,51.630371,25.018195
FJSUV,178.436595,-18.136535
CNNSA,113.653433,22.694213
MANAUS,-59.988449,-3.164533
JPFUK,130.505929,33.842612
EGALY,34.645668,31.834
DOCAU,-69.638318,18.425821
PECLL,-77.132647,-12.030143
MYPEN,100.374194,5.429403
JMKIN,-76.823215,17.982179
MYPKG,101.361204,2.75055
TRIZT,29.742889,40.760616
CMKRI,9.9101915,2.9405941
