loadingOrder,timestamp,longitude,latitude,speed,direction,carrierName,vesselMMSI,onboardDate,TRANSPORT_TRACE
AE223035353902,2019-07-03T21:16:48.000Z,120.093858,22.58132,24,29070,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-03T21:34:48.000Z,120.035707,22.617522,25,34550,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-03T21:51:18.000Z,119.9818,22.658465,32,30160,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-03T21:54:18.000Z,119.970845,22.668688,33,33540,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-03T22:11:08.000Z,119.953628,22.756897,36,35140,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-03T22:21:08.000Z,119.946252,22.812477,37,35300,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-03T23:21:18.000Z,119.923585,23.16468,40,35970,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-03T23:23:48.000Z,119.923615,23.17995,40,35900,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-03T23:57:18.000Z,119.919883,23.388572,42,35930,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T01:05:38.000Z,119.99541,23.831675,43,1690,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T01:29:08.000Z,120.056997,23.97449,42,2650,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T01:47:08.000Z,120.113203,24.07607,41,2630,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T01:52:58.000Z,120.13075,24.10822,40,2620,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T01:57:18.000Z,120.143352,24.131797,40,2670,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T02:13:08.000Z,120.189133,24.217685,39,2620,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T02:16:18.000Z,120.198015,24.234027,38,2570,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T02:18:18.000Z,120.203625,24.244813,39,2590,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T02:23:28.000Z,120.218212,24.272222,39,2590,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T02:26:48.000Z,120.227483,24.28958,38,2590,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T02:31:18.000Z,120.239628,24.31326,38,2450,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T02:42:08.000Z,120.268523,24.370723,39,2550,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T05:57:08.000Z,120.896358,25.369493,40,3260,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T06:00:08.000Z,120.907543,25.385458,40,3250,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T06:03:08.000Z,120.918215,25.40078,40,3220,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T06:33:48.000Z,121.025482,25.547312,37,3510,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T06:46:08.000Z,121.062548,25.594518,27,3580,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T06:53:58.000Z,121.082868,25.62004,27,3570,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T07:06:08.000Z,121.115375,25.660302,26,3660,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T07:07:08.000Z,121.118007,25.6635,27,3660,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T07:59:38.000Z,121.257477,25.832378,26,3720,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T09:46:38.000Z,121.48337,26.166155,24,4190,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T13:50:38.000Z,121.951906,26.866665,20,2670,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-04T15:50:08.000Z,122.163291,27.210306,22,2920,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T06:37:18.000Z,123.732426,29.778633,22,3230,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T10:29:18.000Z,123.102497,30.242805,23,30560,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T10:42:18.000Z,123.062138,30.26824,21,30600,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T12:25:18.000Z,122.751308,30.473427,18,30330,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T12:32:38.000Z,122.727777,30.480373,20,28310,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T12:56:48.000Z,122.643205,30.499102,21,28280,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T13:50:18.000Z,122.483147,30.555898,21,30510,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T15:04:28.000Z,122.214848,30.564012,30,27680,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T15:06:28.000Z,122.203847,30.565153,32,27680,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T16:46:08.000Z,122.058775,30.623827,0,7890,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T17:10:08.000Z,122.05864,30.623877,0,13190,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T17:28:08.000Z,122.058757,30.623952,0,12300,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T18:04:08.000Z,122.058522,30.623637,0,14740,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T19:15:38.000Z,122.058333,30.623795,0,21420,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T20:19:08.000Z,122.058718,30.623867,0,15540,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T20:37:28.000Z,122.058588,30.62394,0,32840,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T20:57:38.000Z,122.059057,30.623702,0,2320,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T21:39:38.000Z,122.05883,30.623895,0,29290,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T22:31:08.000Z,122.05879,30.623933,0,28050,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-05T23:33:38.000Z,122.058607,30.623822,0,24810,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-06T00:15:38.000Z,122.058693,30.623227,0,26100,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-06T00:18:38.000Z,122.058553,30.62369,0,25560,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-06T02:42:38.000Z,122.058728,30.623758,0,29310,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-06T03:13:28.000Z,122.058658,30.623848,0,17780,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-06T05:49:08.000Z,122.058887,30.623873,0,11910,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-06T08:43:08.000Z,122.058818,30.623792,0,14160,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
AE223035353902,2019-07-06T12:57:28.000Z,122.060202,30.619505,8,14480,OIEQNT,C2075927370,2019/07/02  04:12:48,CNYTN-MXZLO
